Mã chứng khoán,Tên chứng khoán,Ngành
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Bán lẻ
BTT,Công ty Cổ phần Thương mại,Bán lẻ
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ
COM,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ
DGW,Công ty Cổ phần Thế Giới Số,Bán lẻ
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Bán lẻ
PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,Bán lẻ
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ
VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Bán lẻ
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm
BVH,Tập đoàn Bảo Việt,Bảo hiểm
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Bảo hiểm
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp,Bất động sản
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Bất động sản
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Bất động sản
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản
DRH,Công ty Cổ phần DRH Holdings,Bất động sản
DTA,Công ty Cổ phần Đệ Tam,Bất động sản
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản
FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản
FLC,Công ty Cổ phần Tập đoàn FLC,Bất động sản
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Bất động sản
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản
HPX,Công ty Cổ phần Đầu tư Hải Phát,Bất động sản
HQC,Công ty Cổ phần Tư vấn,Bất động sản
HTN,Công ty Cổ phần Hưng Thịnh Incons,Bất động sản
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Bất động sản
ITC,Công ty Cổ phần Đầu tư,Bất động sản
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản
KOS,Công ty Cổ phần KOSY,Bất động sản
LDG,Công ty Cổ phần Đầu tư LDG,Bất động sản
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản
LHG,Công ty Cổ phần Long Hậu,Bất động sản
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản
NLG,Công ty cổ phần Đầu tư Nam Long,Bất động sản
NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Bất động sản
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản
NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Bất động sản
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản
PTL,Công ty Cổ phần Đầu tư Hạ tầng và Đô thị Dầu khí,Bất động sản
QCG,Công ty Cổ phần Quốc Cường Gia Lai,Bất động sản
SCR,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Bất động sản
SGR,Công ty Cổ phần Địa ốc Sài Gòn,Bất động sản
SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Bất động sản
SZC,Công ty Cổ phần Sonadezi Châu Đức,Bất động sản
SZL,Công ty Cổ phần Sonadezi Long Thành,Bất động sản
